"sector","count"
"Information Technology","134"
"Business Services","93"
"Biotech & Pharmaceuticals","48"
"Aerospace & Defense","31"
"Insurance","25"
"Finance","24"
"Health Care","18"
"Manufacturing","16"
"Government","13"
"Oil, Gas, Energy & Utilities","6"
"Retail","6"
"Transportation & Logistics","5"
"Media","5"
"Telecommunications","5"
"Real Estate","3"
"Education","2"
"Accounting & Legal","2"
"Travel & Tourism","2"
"Agriculture & Forestry","2"
"Consumer Services","1"
"Non-Profit","1"
"Construction, Repair & Maintenance","1"
