"state","count"
"California","116"
"Virginia","68"
"Massachusetts","40"
"New York","40"
"Maryland","27"
"Illinois","24"
"District of Columbia","18"
"Texas","15"
"Washington","12"
"Pennsylvania","11"
"New Jersey","10"
"Ohio","10"
"USA","9"
"Missouri","9"
"North Carolina","7"
"Colorado","7"
"Georgia","7"
"Florida","6"
"Tennessee","6"
"Indiana","5"
"Wisconsin","5"
"Arizona","4"
"","4"
"Alabama","3"
"Connecticut","3"
"Michigan","3"
"Utah","3"
"Nebraska","3"
"South Carolina","2"
"Oregon","2"
"New Hampshire","2"
"Minnesota","2"
"Oklahoma","2"
"Kansas","1"
"Iowa","1"
"Rhode Island","1"
"West Virginia","1"
"Louisiana","1"
"Delaware","1"
"Mississippi","1"
